Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
SRR3192396_1	104.413184	97.21000000000001	93.7	3.6598219999999997	196.0	195.57	40.714338	40.114995	40.194421	0.336796	0.041871	0.14125	0.25	0.02	1.56	0.01	1.61
SRR3192397_1	91.969895	98.10000000000001	94.7	3.124558	196.0	196.47	35.80379	35.270329	35.325123	0.305371	0.03916	0.134136	0.21	0.02	1.56	0.01	1.49
SRR3192398_1	66.565696	95.92	88.15	5.170027999999999	194.0	193.82	24.7213	24.432647	24.44175	0.18346099999999999	0.023119999999999998	0.07296899999999999	0.23	0.01	1.5	0.01	1.55
SRR3192399_1	74.33451699999999	96.32000000000001	88.2	6.03927	194.0	193.89	29.471296	29.139585999999998	29.142619	0.21767999999999998	0.027811	0.083186	0.21	0.01	1.45	0.01	1.52
SRR3192400_1	94.925479	83.10000000000001	77.29	5.519843	188.0	187.76	53.195453	52.360485	52.445037	0.356334	0.03199	0.36209199999999997	0.32	0.01	1.59	0.01	1.55
SRR3192401_1	95.236637	82.22000000000001	76.43	5.513851	188.0	187.5	54.102889999999995	53.255851	53.33065	0.36203799999999997	0.032302	0.37789999999999996	0.31	0.01	1.59	0.01	1.54
SRR3192657_1	93.144645	94.11999999999999	91.21	2.70958	197.0	196.51	58.736627999999996	58.053182	58.152586	0.397045	0.062651	0.124346	0.27	0.01	1.75	0.01	1.71
SRR3192658_1	97.071168	92.53	89.74	2.7122509999999997	196.0	195.63	58.190695999999996	57.513306	57.610842	0.38307199999999997	0.06319999999999999	0.133582	0.35	0.01	1.76	0.01	1.74
