Sample	Reads passing filters
SRR3192396_1	105089150.0
SRR3192396_2	105089150.0
SRR3192397_1	92494632.0
SRR3192397_2	92494632.0
SRR3192398_1	68765938.0
SRR3192398_2	68765938.0
SRR3192399_1	76795926.0
SRR3192399_2	76795926.0
SRR3192400_1	95791942.0
SRR3192400_2	95791942.0
SRR3192401_1	95735344.0
SRR3192401_2	95735344.0
SRR3192657_1	93555584.0
SRR3192657_2	93555584.0
SRR3192658_1	97548052.0
SRR3192658_2	97548052.0
