Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR3192398_1 - illumina_universal_adapter	(1, 0.00028066220808331007)	(2, 0.0004129951662987568)	(3, 0.0006471227077568548)	(4, 0.0012128097489195887)	(5, 0.0014469372903776867)	(6, 0.002712098539250639)	(7, 0.0029113250807398278)	(8, 0.0031701741638425697)	(9, 0.003365038080335645)	(10, 0.003847108142406201)	(12, 0.004479688766842677)	(14, 0.005301316474444077)	(16, 0.006165843327840594)	(18, 0.00686749884804887)	(20, 0.007437548514207717)	(22, 0.008281716450955705)	(24, 0.008616911471490435)	(26, 0.009053901075267816)	(28, 0.009445083116586005)	(30, 0.009801364157935286)	(32, 0.010100203970169069)	(34, 0.010346692282449488)	(36, 0.010515380448965883)	(38, 0.010707335948794881)	(40, 0.011063616990144161)	(42, 0.011824895051965989)	(44, 0.012519279530514075)	(46, 0.013459425217176562)	(48, 0.01470640886189904)	(50, 0.01656125158941335)	(52, 0.01986957554479952)	(54, 0.024912770040306873)	(56, 0.03070270051431568)	(58, 0.03696815711290087)	(60, 0.04720796508294557)	(62, 0.06258112846508398)	(64, 0.07968843528317755)	(66, 0.10663418857167337)	(68, 0.1367472076073477)	(70, 0.16733429855926635)	(72, 0.21407328145512972)	(74, 0.2715297797581122)	(76, 0.33570908318010584)	(78, 0.4184404493980727)	(80, 0.4962754961620679)	(82, 0.6049702979402389)	(84, 0.7801318728466992)	(86, 1.022961396963712)	(88, 1.2439036314752225)
SRR3192398_2 - illumina_universal_adapter	(1, 0.00013087874988340886)	(2, 0.00017886762484065877)	(3, 0.0003097463747240676)	(4, 0.0005918627911394156)	(5, 0.0007285583743509759)	(6, 0.0009321475408362786)	(7, 0.0010470299990672709)	(8, 0.0011953592489351342)	(9, 0.001350959540463187)	(10, 0.001723963977630902)	(12, 0.0023049202062800332)	(14, 0.0031338189555416233)	(16, 0.004038336538069182)	(18, 0.005061372099657828)	(20, 0.005928080265552402)	(22, 0.007212146222741847)	(24, 0.007959609305409315)	(26, 0.008686713471428253)	(28, 0.0093527408875016)	(30, 0.010008588845250683)	(32, 0.010614266615544456)	(34, 0.011195949948359608)	(36, 0.011794356676993193)	(38, 0.012175359259987119)	(40, 0.012751952863640136)	(42, 0.013730635071101626)	(44, 0.014660601299439847)	(46, 0.015814515610911902)	(48, 0.017221462172158548)	(50, 0.019195549982899962)	(52, 0.022634752688169543)	(54, 0.027743386558618598)	(56, 0.03360675455339532)	(58, 0.03997836836021927)	(60, 0.05018618374695914)	(62, 0.06559352102490043)	(64, 0.08290296280114728)	(66, 0.11001086031866533)	(68, 0.14021258606259396)	(70, 0.17090801553524942)	(72, 0.2176695386602594)	(74, 0.27505187233830797)	(76, 0.33892288359390954)	(78, 0.42091769329169915)	(80, 0.4984597170767888)	(82, 0.6062470928557682)	(84, 0.7795174698264131)	(86, 1.0194611175084967)	(88, 1.23773633393905)
SRR3192399_1 - illumina_universal_adapter	(1, 0.00032944455933769197)	(2, 0.0004896093055769651)	(3, 0.000725298891506302)	(4, 0.0013386126758859578)	(5, 0.0015638850425476996)	(6, 0.002932447223827993)	(7, 0.0031173528658278043)	(8, 0.0033816898047430276)	(9, 0.00356399114192594)	(10, 0.004049042914073332)	(12, 0.004629151812037529)	(14, 0.0054905256302267905)	(16, 0.006292000437627381)	(18, 0.006935263727401372)	(20, 0.007520581234999367)	(22, 0.008633270468019358)	(24, 0.008978340856258442)	(26, 0.00941846837031433)	(28, 0.009803905483215348)	(30, 0.010139860804595285)	(32, 0.010417219267595004)	(34, 0.0106281679577638)	(36, 0.010798749923270668)	(38, 0.011024673366136637)	(40, 0.011437455679615089)	(42, 0.012347660213121201)	(44, 0.014582804822224554)	(46, 0.016119344664194818)	(48, 0.018124659373206856)	(50, 0.021368972098858473)	(52, 0.026223396277557744)	(54, 0.03245875308541758)	(56, 0.038958446832192635)	(58, 0.04809369705366923)	(60, 0.06022585104319206)	(62, 0.07746569785485756)	(64, 0.09744201795287943)	(66, 0.1292151877952484)	(68, 0.16376129119141034)	(70, 0.1955259970431244)	(72, 0.2394098353602768)	(74, 0.3001851947198345)	(76, 0.37427441137958284)	(78, 0.4478251880184373)	(80, 0.5379966379987396)	(82, 0.6490800045825347)	(84, 0.8105996404027995)	(86, 1.1027251627905366)	(88, 1.358725721986867)
SRR3192399_2 - illumina_universal_adapter	(1, 0.00018881209922515943)	(2, 0.00023829389074623569)	(3, 0.00038283280808411633)	(4, 0.0006719106427598776)	(5, 0.0008398883034498471)	(6, 0.0010573477556608927)	(7, 0.001162822100745292)	(8, 0.0013164760849423184)	(9, 0.0014518999354210535)	(10, 0.0018347327435051697)	(12, 0.0023855432122792553)	(14, 0.003300956355419166)	(16, 0.004184466764552067)	(18, 0.005066675021276519)	(20, 0.005911771934360164)	(22, 0.00742096657575299)	(24, 0.008157333762731112)	(26, 0.008868960053948695)	(28, 0.009523291639194506)	(30, 0.010160695243130475)	(32, 0.01070304172124964)	(34, 0.011197208560256178)	(36, 0.011928367137600503)	(38, 0.01236719249924794)	(40, 0.01305993758054301)	(42, 0.014242291967415041)	(44, 0.016704011095588587)	(46, 0.018469078685241717)	(48, 0.020604608635098692)	(50, 0.023964812925102302)	(52, 0.028970937859385926)	(54, 0.035298096412041444)	(56, 0.041913030646964264)	(58, 0.05113552507980697)	(60, 0.06327223660275938)	(62, 0.08063904327424869)	(64, 0.10091030089278434)	(66, 0.13283321826212502)	(68, 0.16761305801560358)	(70, 0.1995900147098949)	(72, 0.24359951073446268)	(74, 0.3043931002277387)	(76, 0.37803567861138887)	(78, 0.4512921688059338)	(80, 0.5412402996481871)	(82, 0.6517689493059827)	(84, 0.8123256434201991)	(86, 1.1016176821671504)	(88, 1.355040630670955)
SRR3192400_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 5.219645719261021e-06)	(5, 5.219645719261021e-06)	(6, 5.219645719261021e-06)	(7, 6.263574863113225e-06)	(8, 7.307504006965429e-06)	(9, 2.1922512020896288e-05)	(10, 4.0191272038309856e-05)	(12, 5.950396119957564e-05)	(14, 0.00010961256010448144)	(16, 0.0003653752003482715)	(18, 0.000680119837219711)	(20, 0.0009327506900319444)	(22, 0.0013529321704324566)	(24, 0.0019364885618458386)	(26, 0.003980501825508454)	(28, 0.015170900283032158)	(30, 0.025810626117173822)	(32, 0.03472317118281201)	(34, 0.049895115394988025)	(36, 0.08300019640482913)	(38, 0.13931965175108363)	(40, 0.20165370485964257)	(42, 0.2670104548042256)	(44, 0.34381075602371647)	(46, 0.44072809380981126)	(48, 0.5453569361815422)	(50, 0.6498641608080145)	(52, 0.7564597656867631)	(54, 0.8767694677282981)	(56, 1.0115783016487963)	(58, 1.161435896142496)	(60, 1.3100595663881625)	(62, 1.4627723070902978)	(64, 1.6205961248807337)	(66, 1.8698232467194371)	(68, 2.0696464218253348)	(70, 2.29750327016024)	(72, 2.533409334158817)	(74, 2.7754876292204202)	(76, 3.0417328839622018)	(78, 3.3354037232066975)	(80, 3.6613935648157128)	(82, 4.010075816189215)	(84, 4.435131401762374)	(86, 5.031784406249954)	(88, 5.595315104896819)
SRR3192400_2 - nextera_transposase_sequence	(1, 1.043929143852204e-06)	(2, 1.043929143852204e-06)	(3, 1.043929143852204e-06)	(4, 5.219645719261021e-06)	(5, 6.263574863113225e-06)	(6, 7.307504006965429e-06)	(7, 7.307504006965429e-06)	(8, 8.351433150817633e-06)	(9, 2.6098228596305103e-05)	(10, 4.175716575408817e-05)	(12, 6.524557149076276e-05)	(14, 0.00011848595782722517)	(16, 0.0003789462792183501)	(18, 0.0007009984200967551)	(20, 0.0009499755209055058)	(22, 0.0014040846984812146)	(24, 0.002030442184792537)	(26, 0.004221127493166388)	(28, 0.016392819345911164)	(30, 0.027971559444947884)	(32, 0.03762894795472463)	(34, 0.05315687200495424)	(36, 0.08641071291779427)	(38, 0.14255948584902894)	(40, 0.20453025161552735)	(42, 0.2694673420442818)	(44, 0.3457649913810078)	(46, 0.44206432311394206)	(48, 0.5462630666784061)	(50, 0.6508183120454953)	(52, 0.7573241390178727)	(54, 0.8771181400623447)	(56, 1.0148061305615874)	(58, 1.1783094448591511)	(60, 1.3407046283705157)	(62, 1.507667523850806)	(64, 1.6802921690427781)	(66, 1.9462492993408569)	(68, 2.159125764461483)	(70, 2.3860603013977943)	(72, 2.620709474707173)	(74, 2.8610010850390735)	(76, 3.1257848389794622)	(78, 3.418351201189762)	(80, 3.7438331712702935)	(82, 4.091890109086629)	(84, 4.515927341779959)	(86, 5.11080827654585)	(88, 5.6721775199003694)
SRR3192401_1 - nextera_transposase_sequence	(1, 0.0)	(2, 1.0445463067433067e-06)	(3, 2.0890926134866135e-06)	(4, 6.267277840459841e-06)	(5, 7.311824147203148e-06)	(6, 8.356370453946454e-06)	(7, 1.0445463067433068e-05)	(8, 1.2534555680919682e-05)	(9, 3.238093550904251e-05)	(10, 5.327186164390865e-05)	(12, 8.043006561923463e-05)	(14, 0.00012064509842885194)	(16, 0.00037185848520061724)	(18, 0.0006742546410028047)	(20, 0.000959938055897099)	(22, 0.0014858671213423538)	(24, 0.0021575103965783002)	(26, 0.004274805760346984)	(28, 0.01713264852320372)	(30, 0.029952365345864325)	(32, 0.040503849863431834)	(34, 0.055302981937371015)	(36, 0.0847638882459126)	(38, 0.13770776234950385)	(40, 0.20269995582822578)	(42, 0.2770617296784352)	(44, 0.3654340031409925)	(46, 0.47753627960014433)	(48, 0.5995544341492103)	(50, 0.7345829352219176)	(52, 0.8996625112664765)	(54, 1.0574851018449363)	(56, 1.2399313047854092)	(58, 1.4520118087213434)	(60, 1.6609759087511087)	(62, 1.8550123975112056)	(64, 2.0609619368997096)	(66, 2.353619787484129)	(68, 2.6094688707652214)	(70, 2.895246294827123)	(72, 3.22999048292969)	(74, 3.572589659258967)	(76, 3.9401132772865997)	(78, 4.354386087545683)	(80, 4.826952415818342)	(82, 5.326893169151823)	(84, 5.8339530278389145)	(86, 6.439510469612978)	(88, 6.970548933317668)
SRR3192401_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.0890926134866135e-06)	(5, 2.0890926134866135e-06)	(6, 3.1336389202299204e-06)	(7, 4.178185226973227e-06)	(8, 5.222731533716534e-06)	(9, 2.298001874835275e-05)	(10, 4.3348671729847234e-05)	(12, 6.737323678494329e-05)	(14, 0.00010706599644118895)	(16, 0.00036454666105341404)	(18, 0.000667465090008973)	(20, 0.0009541930512100108)	(22, 0.0015151144179311666)	(24, 0.002232195457510447)	(26, 0.004493115938456334)	(28, 0.01830828539144331)	(30, 0.0321490462289455)	(32, 0.043503786856398614)	(34, 0.058699846526900246)	(36, 0.08848508446368564)	(38, 0.1415966082495092)	(40, 0.20660655901544575)	(42, 0.2808654450544409)	(44, 0.3691964589378819)	(46, 0.4812543421789971)	(48, 0.603379040451351)	(50, 0.738917280121749)	(52, 0.9041577162975463)	(54, 1.0620565587563982)	(56, 1.2482720070447546)	(58, 1.4758175413251766)	(60, 1.7004373014004108)	(62, 1.9108820458199847)	(64, 2.1341303165944647)	(66, 2.44730723482855)	(68, 2.7189274005220057)	(70, 3.0052140409084442)	(72, 3.340048582266545)	(74, 3.6823223824212716)	(76, 4.049940531889664)	(78, 4.465241697987736)	(80, 4.939937333906691)	(82, 5.4420940922299295)	(84, 5.95203219826525)	(86, 6.561253908483371)	(88, 7.095992677479699)
